Temp,A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W
35.0,1184.86304,980.57843,2227.00024,1036.75012,1503.66455,1738.4364,858.21228,1021.94843,603.51379,239.85855,156.58961,111.22623,3342.15796,1200.30237,362.02805,219.98065,218.76898,414.41287
35.0,1184.86304,980.57843,2227.95239,1036.75012,1503.66455,1739.82996,858.21228,1021.47223,603.51379,239.85855,156.58961,111.22623,3346.61279,1198.24878,362.02805,219.98065,218.76898,413.23221
35.0,1183.21973,980.57843,2227.95239,1036.75012,1503.66455,1739.82996,858.21228,1021.47223,603.09698,240.2411,156.58961,111.22623,3346.61279,1193.11487,362.02805,219.98065,218.76898,414.41287
35.33,1184.04138,980.57843,2227.00024,1036.75012,1502.93396,1739.82996,857.70502,1021.47223,603.51379,239.85855,156.58961,111.22623,3344.38525,1197.22205,362.02805,219.98065,218.76898,413.23221
35.0,1184.86304,980.57843,2227.00024,1035.83264,1503.66455,1739.82996,857.70502,1021.94843,603.51379,239.85855,156.58961,111.22623,3342.15796,1204.40942,362.02805,219.98065,218.76898,414.41287
35.33,1184.04138,980.57843,2227.95239,1036.75012,1503.66455,1740.52673,858.21228,1021.94843,603.51379,239.85855,156.58961,111.22623,3346.61279,1198.24878,362.02805,219.98065,218.76898,413.23221
35.0,1184.04138,980.57843,2227.00024,1036.75012,1503.66455,1740.52673,858.21228,1021.94843,603.51379,239.85855,155.96823,111.22623,3345.49902,1195.16846,362.02805,219.98065,218.76898,414.41287
35.33,1184.04138,980.57843,2227.95239,1036.75012,1503.66455,1740.52673,858.21228,1021.94843,603.51379,240.2411,156.58961,111.22623,3343.27173,1198.24878,362.02805,219.98065,218.76898,414.41287
42.0,1185.68481,958.05798,2229.85669,1041.33752,1416.71802,1658.30811,819.15649,968.1366,573.50482,235.26796,151.61852,110.27558,3190.69727,1140.74927,360.33237,219.15054,205.26472,391.98029
42.0,1185.68481,958.05798,2229.85669,1041.33752,1416.71802,1658.30811,819.15649,967.6604,573.08801,235.26796,151.61852,110.27558,3189.58374,1140.74927,360.33237,219.15054,205.26472,391.98029
42.0,1186.50647,958.05798,2229.85669,1041.33752,1415.9873,1657.61133,819.15649,967.6604,573.50482,235.26796,151.61852,109.32494,3185.12891,1139.72253,359.48453,219.15054,205.26472,391.98029
42.0,1186.50647,958.05798,2229.85669,1041.33752,1415.9873,1657.61133,819.15649,967.6604,573.50482,234.88541,151.61852,109.32494,3185.12891,1139.72253,359.48453,219.15054,206.16501,391.98029
42.0,1186.50647,958.05798,2229.85669,1041.33752,1415.9873,1657.61133,819.15649,966.70801,573.50482,235.26796,152.2399,109.32494,3185.12891,1139.72253,359.48453,219.15054,205.26472,391.98029
42.0,1185.68481,958.05798,2228.90454,1041.33752,1415.9873,1657.61133,819.15649,966.70801,573.08801,235.26796,151.61852,110.27558,3186.24268,1139.72253,359.48453,219.15054,205.26472,391.98029
42.0,1185.68481,958.05798,2229.85669,1041.33752,1415.9873,1657.61133,819.15649,967.6604,573.50482,235.26796,151.61852,109.32494,3188.46997,1139.72253,359.48453,219.15054,206.16501,391.98029
41.67,1185.68481,958.05798,2229.85669,1041.33752,1416.71802,1657.61133,819.15649,966.23175,573.08801,235.26796,151.61852,110.27558,3189.58374,1139.72253,360.33237,219.15054,206.16501,390.79962
42.0,1185.68481,958.05798,2229.85669,1041.33752,1416.71802,1657.61133,819.15649,966.70801,573.08801,234.88541,151.61852,109.32494,3189.58374,1139.72253,360.33237,219.15054,206.16501,391.98029
42.0,1185.68481,958.05798,2229.85669,1041.33752,1416.71802,1657.61133,819.15649,967.6604,573.50482,235.26796,151.61852,110.27558,3186.24268,1140.74927,360.33237,219.15054,205.26472,391.98029
35.0,1148.70911,943.98273,2146.07031,1014.73065,1483.20654,1716.83667,846.54626,1004.80487,593.92761,237.18071,155.34685,110.27558,3287.58765,1151.01709,359.48453,218.32042,216.96841,413.23221
35.0,1147.88745,943.04437,2143.21411,1014.73065,1483.20654,1715.44312,846.54626,1004.80487,593.92761,237.56325,155.34685,110.27558,3288.70117,1182.84717,359.48453,218.32042,216.96841,412.05154
35.0,1148.70911,943.98273,2146.07031,1013.81317,1484.66785,1717.53333,847.05347,1004.80487,594.34436,237.18071,155.34685,110.27558,3288.70117,1178.73999,359.48453,218.32042,216.96841,412.05154
35.33,1147.88745,943.04437,2143.21411,1013.81317,1483.93726,1716.83667,846.54626,1004.80487,593.5108,237.18071,155.34685,110.27558,3285.36035,1183.8739,359.48453,218.32042,216.96841,412.05154
35.0,1148.70911,943.98273,2145.11841,1013.81317,1483.93726,1717.53333,846.54626,1004.80487,593.92761,237.18071,155.34685,110.27558,3288.70117,1151.01709,359.48453,218.32042,216.96841,412.05154
35.0,1148.70911,943.04437,2143.21411,1013.81317,1483.93726,1716.13989,847.05347,1005.28107,594.34436,237.18071,155.34685,110.27558,3288.70117,1182.84717,359.48453,218.32042,216.96841,413.23221
35.0,1147.88745,943.04437,2143.21411,1013.81317,1483.93726,1715.44312,847.05347,1004.80487,593.92761,237.56325,155.34685,110.27558,3288.70117,1180.79358,359.48453,218.32042,216.96841,412.05154
35.33,1147.0658,943.98273,2145.11841,1014.73065,1483.93726,1718.2301,847.05347,1005.28107,594.34436,237.56325,155.34685,110.27558,3288.70117,1183.8739,359.48453,218.32042,216.96841,412.05154
35.33,1147.88745,943.98273,2144.16626,1014.73065,1483.93726,1715.44312,846.54626,1004.80487,593.92761,237.18071,155.34685,110.27558,3288.70117,1180.79358,359.48453,218.32042,216.96841,412.05154
35.67,1148.70911,943.98273,2146.07031,1013.81317,1483.93726,1717.53333,846.54626,1005.28107,594.34436,237.18071,155.34685,110.27558,3288.70117,1152.04382,359.48453,218.32042,216.96841,413.23221
42.0,1143.77905,923.33893,2145.11841,1021.15295,1401.37451,1637.40503,813.06989,953.85028,561.0011,231.05991,149.13297,108.37428,3129.44482,1111.99951,354.39746,215.83008,202.56387,386.07697
42.0,1143.77905,922.40057,2143.21411,1021.15295,1400.6438,1637.40503,812.56268,954.80273,560.16748,231.05991,149.13297,108.37428,3131.67212,1111.99951,354.39746,215.83008,202.56387,386.07697
