Temp,I,J,K,L,R,S
40.0,80.02393,34.81201,274.65323,126.43666,3297.61084,1119.18701
40.0,80.02393,34.42946,275.896,126.43666,3277.56445,1118.16016
40.33,79.60714,34.42946,275.896,126.43666,3280.90552,1116.10669
40.0,79.60714,34.42946,275.896,126.43666,3292.04224,1117.13342
40.33,79.60714,34.42946,276.51736,126.43666,3307.63379,1119.18701
40.33,79.60714,34.81201,276.51736,126.43666,3315.42969,1121.24048
40.0,80.02393,34.81201,276.51736,126.43666,3320.99805,1122.26733
40.33,80.02393,34.81201,276.51736,126.43666,3310.97485,1122.26733
40.0,80.02393,34.81201,275.896,126.43666,3316.54321,1122.26733
40.33,80.02393,34.81201,276.51736,126.43666,3313.20239,1123.29407
40.33,80.02393,34.81201,276.51736,126.43666,3318.77075,1122.26733
40.33,80.02393,34.81201,276.51736,126.43666,3322.11182,1123.29407
40.0,79.19035,34.04691,276.51736,126.43666,3308.74756,1123.29407
40.0,78.77355,34.04691,276.51736,126.43666,3299.83813,1120.21375
40.33,78.35677,34.04691,276.51736,126.43666,3306.52026,1120.21375
40.33,77.93997,33.66436,276.51736,126.43666,3308.74756,1122.26733
40.0,77.52318,33.66436,276.51736,126.43666,3313.20239,1121.24048
40.0,78.35677,33.66436,276.51736,126.43666,3299.83813,1122.26733
40.0,77.93997,33.66436,276.51736,126.43666,3294.26978,1121.24048
40.33,77.93997,33.66436,276.51736,125.48601,3296.49707,1120.21375
40.0,77.93997,33.66436,276.51736,126.43666,3278.67822,1121.24048
40.33,77.10639,33.66436,275.896,126.43666,3283.13281,1118.16016
40.33,77.10639,33.66436,275.896,125.48601,3278.67822,1119.18701
40.33,76.6896,33.66436,275.896,125.48601,3283.13281,1117.13342
40.0,77.10639,33.66436,275.2746,125.48601,3280.90552,1120.21375
40.0,77.52318,33.66436,275.896,125.48601,3282.01929,1119.18701
40.33,77.10639,33.66436,275.896,125.48601,3285.36035,1119.18701
40.33,77.52318,34.04691,275.896,125.48601,3283.13281,1117.13342
40.33,77.93997,33.66436,276.51736,125.48601,3275.33716,1117.13342
40.0,77.52318,33.66436,275.896,125.48601,3284.24658,1118.16016
40.0,77.93997,34.04691,276.51736,126.43666,3285.36035,1117.13342
40.33,77.93997,34.04691,276.51736,126.43666,3285.36035,1118.16016
40.0,77.93997,34.04691,276.51736,125.48601,3295.3833,1119.18701
40.33,78.35677,34.04691,276.51736,126.43666,3292.04224,1118.16016
40.0,77.93997,34.04691,276.51736,126.43666,3293.15601,1119.18701
40.33,77.93997,34.04691,276.51736,126.43666,3295.3833,1119.18701
40.33,77.93997,34.04691,276.51736,125.48601,3294.26978,1119.18701
40.33,78.35677,34.42946,275.896,125.48601,3285.36035,1118.16016
40.33,78.35677,34.42946,276.51736,125.48601,3288.70117,1117.13342
40.33,78.35677,34.42946,276.51736,125.48601,3286.47388,1117.13342
40.0,77.93997,34.04691,276.51736,125.48601,3287.58765,1117.13342
40.33,78.35677,34.04691,276.51736,126.43666,3285.36035,1116.10669
40.33,77.93997,34.04691,275.896,125.48601,3276.45068,1116.10669
40.33,77.93997,34.04691,275.896,125.48601,3280.90552,1116.10669
40.33,77.93997,34.04691,275.896,125.48601,3293.15601,1116.10669
40.33,77.52318,34.04691,275.2746,125.48601,3292.04224,1118.16016
40.33,77.93997,34.42946,275.2746,125.48601,3292.04224,1119.18701
40.33,77.93997,34.04691,275.896,125.48601,3284.24658,1119.18701
40.33,77.93997,34.04691,275.2746,125.48601,3279.79175,1118.16016
40.0,77.93997,34.04691,275.2746,125.48601,3273.10962,1117.13342
40.33,77.52318,34.04691,275.2746,125.48601,3271.99609,1118.16016
40.0,77.52318,34.04691,275.2746,125.48601,3271.99609,1119.18701
40.33,77.93997,34.42946,275.2746,125.48601,3278.67822,1119.18701
40.33,77.93997,34.04691,274.65323,125.48601,3264.2002,1119.18701
40.33,77.52318,34.04691,274.65323,125.48601,3263.08667,1118.16016
40.0,77.93997,34.04691,275.2746,125.48601,3264.2002,1117.13342
40.0,77.93997,34.04691,275.2746,125.48601,3261.9729,1117.13342
40.33,77.93997,34.04691,275.2746,126.43666,3259.74561,1117.13342
40.33,77.93997,34.04691,275.896,126.43666,3263.08667,1117.13342
40.33,77.93997,34.04691,275.2746,126.43666,3265.31396,1117.13342
40.33,78.77355,34.42946,275.896,126.43666,3268.65503,1116.10669
40.33,78.35677,34.04691,276.51736,126.43666,3267.54126,1117.13342
40.33,78.35677,34.42946,276.51736,126.43666,3270.88232,1117.13342
40.33,78.77355,34.42946,276.51736,126.43666,3285.36035,1117.13342
40.33,79.19035,34.42946,275.896,126.43666,3274.22339,1120.21375
40.33,78.77355,34.42946,276.51736,126.43666,3276.45068,1117.13342
40.33,78.35677,34.04691,276.51736,126.43666,3276.45068,1118.16016
40.0,78.35677,34.04691,276.51736,126.43666,3279.79175,1119.18701
40.33,78.77355,34.04691,275.896,126.43666,3280.90552,1120.21375
40.33,77.93997,34.04691,275.896,126.43666,3270.88232,1120.21375
40.0,77.93997,34.04691,276.51736,126.43666,3274.22339,1118.16016
40.0,78.35677,34.04691,275.896,126.43666,3282.01929,1118.16016
40.33,78.35677,34.04691,275.896,126.43666,3273.10962,1119.18701
40.0,78.35677,34.04691,275.896,126.43666,3285.36035,1119.18701
40.33,78.77355,34.04691,276.51736,126.43666,3289.81494,1121.24048
40.33,78.77355,34.42946,276.51736,126.43666,3288.70117,1121.24048
40.33,79.19035,34.42946,275.896,126.43666,3293.15601,1122.26733
40.33,79.19035,34.42946,275.896,126.43666,3285.36035,1122.26733
40.0,79.19035,34.42946,275.896,126.43666,3285.36035,1121.24048
40.33,79.19035,34.42946,275.896,126.43666,3295.3833,1121.24048
40.33,78.77355,34.04691,275.896,126.43666,3305.40649,1124.3208
40.33,78.35677,34.42946,275.2746,126.43666,3315.42969,1126.37439
40.33,78.77355,34.42946,275.2746,126.43666,3318.77075,1128.42798
40.33,79.19035,34.81201,275.2746,125.48601,3318.77075,1128.42798
40.0,79.60714,34.81201,275.2746,126.43666,3318.77075,1129.45471
40.33,79.60714,34.42946,275.896,126.43666,3313.20239,1129.45471
40.33,79.19035,34.42946,275.2746,126.43666,3314.31592,1128.42798
40.33,79.19035,34.42946,275.2746,126.43666,3316.54321,1127.40112
40.33,79.60714,34.42946,275.896,126.43666,3308.74756,1128.42798
40.33,79.19035,34.42946,275.2746,126.43666,3318.77075,1127.40112
40.33,78.77355,34.42946,275.2746,126.43666,3333.24854,1129.45471
40.33,79.19035,34.81201,275.2746,126.43666,3329.90747,1130.48157
40.33,80.02393,34.81201,275.2746,126.43666,3328.7937,1129.45471
40.33,80.02393,34.42946,275.896,126.43666,3316.54321,1128.42798
40.33,79.60714,34.81201,275.2746,126.43666,3325.45288,1128.42798
40.33,80.02393,34.42946,275.896,126.43666,3326.56641,1130.48157
40.33,79.19035,34.42946,275.896,126.43666,3320.99805,1129.45471
40.33,79.19035,34.42946,276.51736,126.43666,3332.13477,1129.45471
40.33,79.60714,34.42946,276.51736,126.43666,3336.5896,1129.45471
40.33,79.19035,34.42946,276.51736,126.43666,3341.04419,1130.48157
40.33,79.19035,34.81201,277.13876,127.38731,3347.72632,1130.48157
40.33,79.60714,34.81201,277.76016,127.38731,3341.04419,1131.5083
40.33,80.02393,34.81201,277.13876,127.38731,3339.93066,1130.48157
40.33,80.02393,34.81201,277.76016,127.38731,3342.15796,1130.48157
40.0,79.60714,34.42946,277.13876,127.38731,3341.04419,1130.48157
40.33,79.19035,34.04691,277.13876,127.38731,3347.72632,1131.5083
40.33,78.77355,34.04691,277.13876,126.43666,3349.95386,1131.5083
40.33,78.35677,34.04691,277.13876,126.43666,3355.52222,1131.5083
40.33,78.35677,34.04691,277.13876,126.43666,3358.86328,1132.53503
40.33,78.35677,33.66436,277.13876,126.43666,3351.06738,1132.53503
40.33,78.35677,34.04691,277.13876,126.43666,3354.40845,1132.53503
40.33,78.35677,33.66436,277.76016,127.38731,3352.18115,1131.5083
40.33,78.35677,33.66436,277.13876,127.38731,3339.93066,1130.48157
40.33,77.52318,33.66436,277.76016,127.38731,3334.3623,1127.40112
40.33,77.93997,33.66436,277.76016,127.38731,3336.5896,1127.40112
40.0,77.52318,33.66436,277.76016,127.38731,3323.22534,1127.40112
40.33,77.10639,33.66436,277.76016,127.38731,3332.13477,1126.37439
40.33,77.52318,33.66436,277.76016,127.38731,3323.22534,1128.42798
40.33,77.93997,34.04691,277.76016,127.38731,3314.31592,1125.34766
40.33,78.35677,34.42946,277.76016,127.38731,3322.11182,1125.34766
40.0,78.77355,34.42946,277.76016,127.38731,3302.06543,1125.34766
40.0,78.35677,34.42946,277.76016,127.38731,3308.74756,1122.26733
40.33,78.77355,34.42946,277.76016,127.38731,3308.74756,1124.3208
40.33,78.35677,34.04691,277.13876,127.38731,3304.29272,1124.3208
40.33,78.35677,34.42946,277.76016,127.38731,3307.63379,1124.3208
40.33,78.35677,34.42946,277.76016,127.38731,3309.86133,1125.34766
40.33,78.35677,34.42946,277.76016,127.38731,3307.63379,1125.34766
40.33,79.19035,34.81201,277.76016,127.38731,3315.42969,1126.37439
40.0,79.19035,34.42946,277.76016,127.38731,3306.52026,1126.37439
40.0,79.19035,34.81201,277.76016,127.38731,3314.31592,1125.34766
40.33,79.60714,34.42946,277.76016,127.38731,3314.31592,1128.42798
40.33,79.19035,34.81201,277.13876,127.38731,3318.77075,1127.40112
40.33,79.60714,34.42946,277.13876,127.38731,3316.54321,1129.45471
40.33,78.77355,34.04691,277.76016,127.38731,3303.1792,1128.42798
40.33,78.35677,33.66436,277.76016,127.38731,3305.40649,1125.34766
40.33,78.35677,33.66436,277.76016,127.38731,3287.58765,1123.29407
40.33,77.93997,33.66436,277.76016,127.38731,3273.10962,1121.24048
40.33,77.93997,33.66436,278.38153,128.33797,3254.17725,1114.0531
40.33,77.93997,33.66436,278.38153,127.38731,3259.74561,1115.07983
40.33,77.93997,33.66436,277.76016,127.38731,3260.85913,1116.10669
40.0,78.35677,33.66436,278.38153,127.38731,3267.54126,1114.0531
40.33,77.93997,33.66436,278.38153,127.38731,3267.54126,1117.13342
40.67,77.52318,33.66436,278.38153,127.38731,3275.33716,1122.26733
40.33,77.52318,33.66436,278.38153,127.38731,3273.10962,1122.26733
40.33,78.77355,34.04691,278.38153,127.38731,3277.56445,1119.18701
40.33,78.77355,34.04691,278.38153,127.38731,3270.88232,1117.13342
40.33,77.93997,34.04691,278.38153,127.38731,3268.65503,1119.18701
40.0,78.35677,34.04691,278.38153,127.38731,3271.99609,1119.18701
40.33,78.35677,34.04691,278.38153,127.38731,3274.22339,1119.18701
40.33,78.35677,34.04691,278.38153,127.38731,3257.51831,1120.21375
40.33,77.93997,34.04691,278.38153,127.38731,3260.85913,1117.13342
40.33,77.52318,33.66436,279.00293,127.38731,3259.74561,1119.18701
40.0,77.10639,34.04691,279.00293,128.33797,3267.54126,1119.18701
40.33,77.93997,34.04691,279.00293,128.33797,3270.88232,1119.18701
40.0,77.52318,34.04691,279.00293,128.33797,3269.7688,1119.18701
40.33,77.93997,34.04691,278.38153,128.33797,3273.10962,1120.21375
40.0,78.35677,34.42946,279.00293,128.33797,3268.65503,1119.18701
40.33,78.35677,34.04691,279.00293,128.33797,3266.42773,1119.18701
40.0,78.35677,34.04691,279.00293,128.33797,3273.10962,1117.13342
40.33,77.52318,33.66436,279.00293,128.33797,3266.42773,1120.21375
40.33,77.10639,33.66436,278.38153,128.33797,3277.56445,1118.16016
40.33,77.10639,33.66436,278.38153,128.33797,3287.58765,1120.21375
40.33,77.93997,33.66436,278.38153,128.33797,3279.79175,1121.24048
40.33,77.52318,33.66436,278.38153,128.33797,3285.36035,1121.24048
40.0,77.52318,33.66436,279.00293,128.33797,3285.36035,1124.3208
40.33,77.10639,33.28181,278.38153,128.33797,3302.06543,1124.3208
40.67,77.10639,33.66436,279.00293,128.33797,3308.74756,1123.29407
40.67,77.10639,33.66436,279.00293,128.33797,3307.63379,1125.34766
40.33,77.10639,33.66436,279.00293,128.33797,3314.31592,1125.34766
40.33,77.52318,33.28181,279.00293,128.33797,3306.52026,1127.40112
40.0,76.6896,33.28181,279.00293,127.38731,3309.86133,1125.34766
40.33,76.6896,33.66436,279.00293,127.38731,3314.31592,1123.29407
40.33,76.6896,33.28181,278.38153,127.38731,3318.77075,1127.40112
40.0,77.10639,33.66436,278.38153,127.38731,3323.22534,1127.40112
40.33,77.52318,33.66436,278.38153,127.38731,3315.42969,1128.42798
40.33,77.52318,33.66436,278.38153,127.38731,3316.54321,1128.42798
40.33,77.52318,33.66436,277.76016,127.38731,3320.99805,1129.45471
40.33,76.6896,33.28181,278.38153,127.38731,3315.42969,1130.48157
40.33,76.2728,33.28181,277.76016,127.38731,3315.42969,1129.45471
40.33,76.2728,33.66436,277.13876,126.43666,3335.47583,1129.45471
40.33,76.6896,33.66436,277.13876,127.38731,3327.68018,1130.48157
40.33,76.6896,33.66436,277.13876,127.38731,3325.45288,1130.48157
40.33,77.52318,34.04691,277.13876,127.38731,3319.88428,1129.45471
40.33,77.93997,34.04691,277.13876,127.38731,3320.99805,1131.5083
40.33,78.35677,34.04691,277.76016,127.38731,3322.11182,1129.45471
40.33,77.93997,34.04691,277.13876,127.38731,3317.65698,1130.48157
40.67,78.35677,34.42946,277.13876,127.38731,3326.56641,1129.45471
40.67,79.19035,34.04691,277.13876,127.38731,3316.54321,1129.45471
40.67,77.93997,34.04691,277.13876,127.38731,3313.20239,1128.42798
40.33,77.52318,34.04691,277.13876,127.38731,3319.88428,1127.40112
40.33,77.93997,34.04691,277.13876,127.38731,3313.20239,1129.45471
40.33,77.93997,34.04691,277.76016,127.38731,3304.29272,1128.42798
40.33,78.77355,34.04691,277.13876,127.38731,3306.52026,1125.34766
40.0,77.93997,34.04691,277.76016,127.38731,3293.15601,1125.34766
40.0,77.93997,34.04691,277.76016,127.38731,3302.06543,1124.3208
40.33,78.35677,34.04691,277.76016,128.33797,3289.81494,1126.37439
40.33,77.93997,34.04691,277.76016,128.33797,3288.70117,1124.3208
40.33,78.35677,34.04691,277.76016,127.38731,3295.3833,1124.3208
40.33,77.93997,33.66436,277.13876,127.38731,3277.56445,1125.34766
40.33,77.52318,33.66436,277.76016,128.33797,3282.01929,1120.21375
40.33,78.35677,33.66436,277.76016,128.33797,3284.24658,1121.24048
40.33,77.93997,33.66436,277.76016,128.33797,3270.88232,1121.24048
40.33,77.52318,33.66436,277.76016,128.33797,3275.33716,1120.21375
40.67,77.52318,33.66436,277.76016,128.33797,3250.83618,1120.21375
